platform,source_category,Category,normalized_Brand,product_family,Product Name,product_title,Price (USD),Price (USD),price_valid,raw_condition,normalized_condition,raw_sku,Normalized SKU,Total Items Sold (Product),Location of Product,Seller Name,Product URL,Positive Review Percentage % (seller),Number of Reviews (seller),demo_priority_flag,demo_priority_score,demo_eligible,Brand,Product Name,Condition,Location
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,[DM0103-105] Mens Air Jordan ADG 4 GOLF 'WHITE PURE PLATINUM',[DM0103-105] Mens Air Jordan ADG 4 GOLF 'WHITE PURE PLATINUM',139.99,139.99,True,New with box,New,DM0103-105,DM0103-105,58,Paterson,sneakAR,https://www.ebay.com/itm/285564020618,99.8,209752,0,0.232,False,Jordan,[Dm0103-105] Mens Air Jordan Adg 4 Golf 'White Pure Platinum',New / Unworn,Paterson
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,"Air Jordan 9 'Olive' Black Sneakers, Size 5Y / 6.5W BNIB HV4574-030","Air Jordan 9 'Olive' Black Sneakers, Size 5Y / 6.5W BNIB HV4574-030",119.99,119.99,True,New with box,New,HV4574-030,HV4574-030,1,Scranton,sneakermarket,https://www.ebay.com/itm/267481754966,99.8,10444,0,0.004,False,Jordan,"Air Jordan 9 'Olive' Black Sneakers, Size 5Y / 6.5W Bnib Hv4574-030",New / Unworn,Scranton
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Mens Size 10 Jordan Tatum 3 GREY HV5878 002 Basketball NEW,Mens Size 10 Jordan Tatum 3 GREY HV5878 002 Basketball NEW,114.99,114.99,True,New with box,New,HV5878,HV5878,1,Parrish,YH FOOTWEAR,https://www.ebay.com/itm/116926420370,99.7,7623,0,0.004,False,Jordan,Mens Size 10 Jordan Tatum 3 Grey Hv5878 002 Basketball New,New / Unworn,Parrish
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Size 7-13 Air Jordan Jumpman Jack TR Travis Scott Sail FZ8117-100 - Brand new,Size 7-13 Air Jordan Jumpman Jack TR Travis Scott Sail FZ8117-100 - Brand new,218,218,True,New with box,New,FZ8117-100,FZ8117-100,2,San Juan,cro_318682,https://www.ebay.com/itm/366084326885,66.7,3,0,0.008,False,Jordan,Size 7-13 Air Jordan Jumpman Jack Tr Travis Scott Sail Fz8117-100 - Brand New,New / Unworn,San Juan
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Air Jordan Zoom '92 Retro Basketball Shoes Black CK9183-001 Mens Size 10 NEW,Air Jordan Zoom '92 Retro Basketball Shoes Black CK9183-001 Mens Size 10 NEW,88.35,88.35,True,New with box,New,CK9183-001,CK9183-001,1,Evansville,TopQualityChoices,https://www.ebay.com/itm/266619638866,99.7,3120,0,0.004,False,Jordan,Air Jordan Zoom '92 Retro Basketball Shoes Black Ck9183-001 Mens Size 10 New,New / Unworn,Evansville
ebay,Air jordan sneakers,Sneakers,Jordan,Jordan Spizike,Jordan Spizike Low Coconut Milk - FQ1759-100,Jordan Spizike Low Coconut Milk - FQ1759-100,144,144,True,New with box,New,FQ1759-100,FQ1759-100,30,Hong Kong,MXC OFFICIAL,https://www.ebay.com/itm/364777143392,98.4,5322,0,0.12,False,Jordan,Jordan Spizike Low Coconut Milk - Fq1759-100,New / Unworn,Hong Kong
ebay,Air jordan sneakers,Sneakers,Jordan,Jordan Spizike,Men's Jordan Spizike Low Black/Wolf Grey-Gamma Blue (FQ1759 005),Men's Jordan Spizike Low Black/Wolf Grey-Gamma Blue (FQ1759 005),152.2,152.2,True,New with box,New,FQ1759,FQ1759,1,Chicago,The Spot Chicago,https://www.ebay.com/itm/127485345561,99.7,42346,0,0.004,False,Jordan,Men'S Jordan Spizike Low Black/Wolf Grey-Gamma Blue (Fq1759 005),New / Unworn,Chicago
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan 4,HF4340 800 Air Jordan 4 Retro OG SP Nigel Sylvester cihla od Brick,HF4340 800 Air Jordan 4 Retro OG SP Nigel Sylvester cihla od Brick,64800,64800,True,New with box,New,HF4340,HF4340,,,districtoneny,https://www.ebay.com/itm/306207370547,99.8,7280,1,10,False,Jordan,Hf4340 800 Air Jordan 4 Retro Og Sp Nigel Sylvester Cihla Od Brick,New / Unworn,
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,[DC8418-107] Mens Air Jordan PRO STRONG 'TOUR YELLOW',[DC8418-107] Mens Air Jordan PRO STRONG 'TOUR YELLOW',124.99,124.99,True,New with box,New,DC8418-107,DC8418-107,50,Paterson,sneakAR,https://www.ebay.com/itm/285332741387,99.8,209752,0,0.2,False,Jordan,[Dc8418-107] Mens Air Jordan Pro Strong 'Tour Yellow',New / Unworn,Paterson
ebay,Air jordan sneakers,Sneakers,Jordan,Air Jordan Sneakers,Jordan Tatum 3 PF Blueprint - HV6385-400,Jordan Tatum 3 PF Blueprint - HV6385-400,115,115,True,New with box,New,HV6385-400,HV6385-400,19,Hong Kong,MXC OFFICIAL,https://www.ebay.com/itm/365642646462,98.4,5322,0,0.076,False,Jordan,Jordan Tatum 3 Pf Blueprint - Hv6385-400,New / Unworn,Hong Kong
